time,detector_id,vehicle_count,occupancy,mean_speed,vehicle_ids
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.2,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.3,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D0.4,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.1,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D1.2,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_122855839_3663662942_3663662943_3663662944_#1more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.2,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.3,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D0.4,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D1.0,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.0,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.1,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.2,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.3,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.4,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D2.5,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.0,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.1,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.2,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.3,0,0.0,-1.0,[]
5.0,cluster_123241924_382443557_5344542568_5546892974_#3more_0_D3.4,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.0,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.1,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.2,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.3,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D0.4,0,0.0,-1.0,[]
5.0,cluster_123281084_3663662939_3664674395_3664674397_#1more_0_D1.0,0,0.0,-1.0,[]
