time,vehicle_id,position,speed,lane_id,waiting_time,acceleration,distance,route_id,type_id,co2_emission,fuel_consumption,noise_emission,hc_emission,pmx_emission,nox_emission
5.0,bus0,"(429.2776020151352, 84.17720711274573)",8.003807879920581,1121666264#0_2,0.0,-4.0,46.26862992513272,!bus0!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
5.0,truck0,"(229.56452215308906, 11.719762846307994)",0.014262550529998145,1131137820#0_0,2.0,-0.03205515175557157,9.958019284715476,!truck0!var#1,truck_truck,0.0,0.0,0.0,0.0,0.0,0.0
5.0,veh0,"(66.00751677796171, 384.4682996464278)",15.521468097610402,-399307909#1_1,0.0,-0.29045160736422915,62.768054610997446,!veh0!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
5.0,veh1,"(62.69942526679321, 25.73921987523092)",12.951732305435732,-381243038#9_1,0.0,1.1411989818792776,24.762265628992182,!veh1!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
5.0,veh2,"(394.9821528039142, 43.61742566804667)",14.024178000000001,399294707#1_2,0.0,0.0,0.0,!veh2!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
10.0,bus0,"(432.011039278267, 87.56131965621623)",0.0001935450239533637,1121666264#0_2,3.0,-0.00037523745872788424,50.618987746334795,!bus0!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
10.0,truck0,"(229.56381263531463, 11.720307795376407)",0.0,1131137820#0_0,7.0,0.0,9.958914065464334,!truck0!var#1,truck_truck,0.0,0.0,0.0,0.0,0.0,0.0
10.0,veh0,"(132.11324549012073, 341.63284380304736)",15.967310581017287,-185747928#1_1,0.0,0.42864059230778295,142.4225638531372,!veh0!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
10.0,veh1,"(100.98729952562769, 74.15030806832284)",12.613755274585717,-381243038#9_1,0.0,0.2878908938728273,86.48659250658285,!veh1!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
10.0,veh2,"(422.71409055824904, 76.05129848113074)",2.0463644834420647,1121666264#0_2,0.0,-2.77534192286262,42.822579530583255,!veh2!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
10.0,veh3,"(256.6262461087899, 465.072004528152)",9.669887450878546,237022767#2_3,0.0,1.7540506196906787,29.176098311668415,!veh3!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
10.0,veh4,"(253.12759971712927, 470.94503866211375)",3.8189591257367286,237022767#2_1,0.0,2.5000972140114754,5.137821037461981,!veh4!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
10.0,veh5,"(281.52, 496.15)",0.0,237022767#0_3,0.0,0.0,0.0,!veh5!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
15.0,bus0,"(432.6269636799282, 88.32386047674461)",0.9802645095158368,1121666264#0_2,0.0,0.9802645095158368,51.59925225585063,!bus0!var#1,bus_bus,0.0,0.0,0.0,0.0,0.0,0.0
15.0,truck0,"(229.56381263531463, 11.720307795376407)",0.0,1131137820#0_0,12.0,0.0,9.958914065464334,!truck0!var#1,truck_truck,0.0,0.0,0.0,0.0,0.0,0.0
15.0,veh0,"(195.9686151723929, 294.1512422865235)",16.588493945040742,:cluster_5546892981_6784922385_7_1,0.0,1.165644166129642,221.9557689654911,!veh0!var#1,veh_passenger,0.0,0.0,0.0,0.0,0.0,0.0
